
 loss 0.693, Acc@1 49.153


 loss 0.694, Acc@1 49.153


 loss 0.693, Acc@1 49.153


 loss 0.690, Acc@1 49.153


 loss 0.669, Acc@1 54.237


 loss 0.624, Acc@1 69.492


 loss 0.621, Acc@1 71.186


 loss 0.605, Acc@1 75.424


 loss 0.578, Acc@1 74.576


 loss 0.575, Acc@1 71.186


 loss 0.561, Acc@1 72.034


 loss 0.586, Acc@1 72.034


 loss 0.546, Acc@1 73.729


 loss 0.573, Acc@1 72.034


 loss 0.607, Acc@1 69.492


 loss 0.597, Acc@1 71.186


 loss 0.587, Acc@1 72.881


 loss 0.575, Acc@1 71.186


 loss 0.574, Acc@1 67.797


 loss 0.561, Acc@1 71.186


 loss 0.581, Acc@1 69.492


 loss 0.560, Acc@1 74.576


 loss 0.510, Acc@1 72.881


 loss 0.570, Acc@1 68.644


 loss 0.530, Acc@1 74.576


 loss 0.554, Acc@1 70.339


 loss 0.531, Acc@1 72.881


 loss 0.505, Acc@1 76.271


 loss 0.509, Acc@1 73.729


 loss 0.555, Acc@1 68.644


 loss 0.497, Acc@1 77.966


 loss 0.529, Acc@1 78.814


 loss 0.516, Acc@1 73.729


 loss 0.504, Acc@1 78.814


 loss 0.501, Acc@1 81.356


 loss 0.482, Acc@1 78.814


 loss 0.470, Acc@1 80.508


 loss 0.477, Acc@1 77.119


 loss 0.482, Acc@1 79.661


 loss 0.476, Acc@1 78.814


 loss 0.479, Acc@1 77.966


 loss 0.485, Acc@1 83.051


 loss 0.488, Acc@1 78.814


 loss 0.484, Acc@1 75.424


 loss 0.459, Acc@1 78.814


 loss 0.552, Acc@1 72.034


 loss 0.464, Acc@1 79.661


 loss 0.443, Acc@1 79.661


 loss 0.442, Acc@1 82.203


 loss 0.421, Acc@1 81.356


 loss 0.449, Acc@1 77.966


 loss 0.427, Acc@1 83.051


 loss 0.474, Acc@1 78.814


 loss 0.466, Acc@1 77.966


 loss 0.428, Acc@1 81.356


 loss 0.446, Acc@1 84.746


 loss 0.422, Acc@1 82.203


 loss 0.400, Acc@1 84.746


 loss 0.426, Acc@1 83.051


 loss 0.509, Acc@1 73.729


 loss 0.423, Acc@1 77.966


 loss 0.424, Acc@1 83.051


 loss 0.426, Acc@1 82.203


 loss 0.405, Acc@1 85.593


 loss 0.409, Acc@1 83.898


 loss 0.407, Acc@1 82.203


 loss 0.427, Acc@1 80.508


 loss 0.404, Acc@1 83.051


 loss 0.420, Acc@1 80.508


 loss 0.387, Acc@1 83.898


 loss 0.420, Acc@1 79.661


 loss 0.422, Acc@1 80.508


 loss 0.402, Acc@1 84.746


 loss 0.401, Acc@1 83.051


 loss 0.393, Acc@1 83.898


 loss 0.395, Acc@1 83.898


 loss 0.406, Acc@1 82.203


 loss 0.403, Acc@1 83.898


 loss 0.417, Acc@1 83.898


 loss 0.378, Acc@1 84.746


