
 The epoch is 10, average recall: 0.8966, average precision: 0.5909,average F1: 0.7123, average accuracy: 0.6441, average AUC: 0.7678
 The epoch is 20, average recall: 0.7241, average precision: 0.6176,average F1: 0.6667, average accuracy: 0.6441, average AUC: 0.7437
 The epoch is 30, average recall: 0.6379, average precision: 0.6852,average F1: 0.6607, average accuracy: 0.6780, average AUC: 0.7825
 The epoch is 40, average recall: 0.7241, average precision: 0.6667,average F1: 0.6942, average accuracy: 0.6864, average AUC: 0.7825
 The epoch is 50, average recall: 0.7759, average precision: 0.7377,average F1: 0.7563, average accuracy: 0.7542, average AUC: 0.8520
 The epoch is 60, average recall: 0.8276, average precision: 0.7869,average F1: 0.8067, average accuracy: 0.8051, average AUC: 0.8707
 The epoch is 70, average recall: 0.8448, average precision: 0.7424,average F1: 0.7903, average accuracy: 0.7797, average AUC: 0.8730
 The epoch is 80, average recall: 0.8276, average precision: 0.8000,average F1: 0.8136, average accuracy: 0.8136, average AUC: 0.8787
 The epoch is 90, average recall: 0.8966, average precision: 0.7647,average F1: 0.8254, average accuracy: 0.8136, average AUC: 0.8695
 The epoch is 100, average recall: 0.8793, average precision: 0.7083,average F1: 0.7846, average accuracy: 0.7627, average AUC: 0.8718
 The epoch is 110, average recall: 0.8793, average precision: 0.7083,average F1: 0.7846, average accuracy: 0.7627, average AUC: 0.8825
 The epoch is 120, average recall: 0.8621, average precision: 0.7812,average F1: 0.8197, average accuracy: 0.8136, average AUC: 0.8790
 The epoch is 130, average recall: 0.7241, average precision: 0.7778,average F1: 0.7500, average accuracy: 0.7627, average AUC: 0.8606
 The epoch is 140, average recall: 0.8103, average precision: 0.7460,average F1: 0.7769, average accuracy: 0.7712, average AUC: 0.8747
 The epoch is 150, average recall: 0.8448, average precision: 0.7538,average F1: 0.7967, average accuracy: 0.7881, average AUC: 0.8681
 The epoch is 160, average recall: 0.8448, average precision: 0.7538,average F1: 0.7967, average accuracy: 0.7881, average AUC: 0.8759
 The epoch is 170, average recall: 0.8448, average precision: 0.7101,average F1: 0.7717, average accuracy: 0.7542, average AUC: 0.8790
 The epoch is 180, average recall: 0.7759, average precision: 0.7627,average F1: 0.7692, average accuracy: 0.7712, average AUC: 0.8675
 The epoch is 190, average recall: 0.8276, average precision: 0.7742,average F1: 0.8000, average accuracy: 0.7966, average AUC: 0.8819
 The epoch is 200, average recall: 0.8103, average precision: 0.7966,average F1: 0.8034, average accuracy: 0.8051, average AUC: 0.8787
 The epoch is 210, average recall: 0.8276, average precision: 0.7500,average F1: 0.7869, average accuracy: 0.7797, average AUC: 0.8747
 The epoch is 220, average recall: 0.8276, average precision: 0.7385,average F1: 0.7805, average accuracy: 0.7712, average AUC: 0.8779
 The epoch is 230, average recall: 0.8448, average precision: 0.7903,average F1: 0.8167, average accuracy: 0.8136, average AUC: 0.8882
 The epoch is 240, average recall: 0.8621, average precision: 0.7812,average F1: 0.8197, average accuracy: 0.8136, average AUC: 0.8905
 The epoch is 250, average recall: 0.8448, average precision: 0.7538,average F1: 0.7967, average accuracy: 0.7881, average AUC: 0.8871
 The epoch is 260, average recall: 0.8103, average precision: 0.7705,average F1: 0.7899, average accuracy: 0.7881, average AUC: 0.8894
 The epoch is 270, average recall: 0.8448, average precision: 0.7778,average F1: 0.8099, average accuracy: 0.8051, average AUC: 0.8971
 The epoch is 280, average recall: 0.8793, average precision: 0.6986,average F1: 0.7786, average accuracy: 0.7542, average AUC: 0.8871
 The epoch is 290, average recall: 0.8793, average precision: 0.7083,average F1: 0.7846, average accuracy: 0.7627, average AUC: 0.8997
 The epoch is 300, average recall: 0.7931, average precision: 0.7931,average F1: 0.7931, average accuracy: 0.7966, average AUC: 0.8897
 The epoch is 310, average recall: 0.8966, average precision: 0.7647,average F1: 0.8254, average accuracy: 0.8136, average AUC: 0.9089
 The epoch is 320, average recall: 0.8448, average precision: 0.7538,average F1: 0.7967, average accuracy: 0.7881, average AUC: 0.8761
 The epoch is 330, average recall: 0.8448, average precision: 0.7101,average F1: 0.7717, average accuracy: 0.7542, average AUC: 0.8822
 The epoch is 340, average recall: 0.8103, average precision: 0.7705,average F1: 0.7899, average accuracy: 0.7881, average AUC: 0.8816
 The epoch is 350, average recall: 0.8793, average precision: 0.7500,average F1: 0.8095, average accuracy: 0.7966, average AUC: 0.8885
 The epoch is 360, average recall: 0.8621, average precision: 0.7692,average F1: 0.8130, average accuracy: 0.8051, average AUC: 0.9034
 The epoch is 370, average recall: 0.8621, average precision: 0.7812,average F1: 0.8197, average accuracy: 0.8136, average AUC: 0.9101
 The epoch is 380, average recall: 0.9310, average precision: 0.7105,average F1: 0.8060, average accuracy: 0.7797, average AUC: 0.9124
 The epoch is 390, average recall: 0.8793, average precision: 0.7727,average F1: 0.8226, average accuracy: 0.8136, average AUC: 0.9118
 The epoch is 400, average recall: 0.8966, average precision: 0.6842,average F1: 0.7761, average accuracy: 0.7458, average AUC: 0.9069
 The epoch is 410, average recall: 0.9138, average precision: 0.7067,average F1: 0.7970, average accuracy: 0.7712, average AUC: 0.9132
 The epoch is 420, average recall: 0.8621, average precision: 0.7353,average F1: 0.7937, average accuracy: 0.7797, average AUC: 0.9124
 The epoch is 430, average recall: 0.8448, average precision: 0.7424,average F1: 0.7903, average accuracy: 0.7797, average AUC: 0.8845
 The epoch is 440, average recall: 0.8793, average precision: 0.7612,average F1: 0.8160, average accuracy: 0.8051, average AUC: 0.8940
 The epoch is 450, average recall: 0.8793, average precision: 0.7083,average F1: 0.7846, average accuracy: 0.7627, average AUC: 0.8963
 The epoch is 460, average recall: 0.8966, average precision: 0.7429,average F1: 0.8125, average accuracy: 0.7966, average AUC: 0.8822
 The epoch is 470, average recall: 0.8966, average precision: 0.7429,average F1: 0.8125, average accuracy: 0.7966, average AUC: 0.8779
 The epoch is 480, average recall: 0.8793, average precision: 0.7083,average F1: 0.7846, average accuracy: 0.7627, average AUC: 0.8767
 The epoch is 490, average recall: 0.8621, average precision: 0.7463,average F1: 0.8000, average accuracy: 0.7881, average AUC: 0.9043
 The epoch is 500, average recall: 0.8448, average precision: 0.8167,average F1: 0.8305, average accuracy: 0.8305, average AUC: 0.9046
