
 The epoch is 10, average recall: 1.0000, average precision: 0.4915,average F1: 0.6591, average accuracy: 0.4915, average AUC: 0.6960
 The epoch is 20, average recall: 0.9310, average precision: 0.5806,average F1: 0.7152, average accuracy: 0.6356, average AUC: 0.7247
 The epoch is 30, average recall: 0.8621, average precision: 0.5747,average F1: 0.6897, average accuracy: 0.6186, average AUC: 0.6753
 The epoch is 40, average recall: 0.6034, average precision: 0.6250,average F1: 0.6140, average accuracy: 0.6271, average AUC: 0.7023
 The epoch is 50, average recall: 0.7414, average precision: 0.6232,average F1: 0.6772, average accuracy: 0.6525, average AUC: 0.6716
 The epoch is 60, average recall: 0.7759, average precision: 0.6522,average F1: 0.7087, average accuracy: 0.6864, average AUC: 0.7060
 The epoch is 70, average recall: 0.6897, average precision: 0.6250,average F1: 0.6557, average accuracy: 0.6441, average AUC: 0.6994
 The epoch is 80, average recall: 0.5690, average precision: 0.6735,average F1: 0.6168, average accuracy: 0.6525, average AUC: 0.6997
 The epoch is 90, average recall: 0.7069, average precision: 0.7193,average F1: 0.7130, average accuracy: 0.7203, average AUC: 0.7376
 The epoch is 100, average recall: 0.6724, average precision: 0.7222,average F1: 0.6964, average accuracy: 0.7119, average AUC: 0.7365
 The epoch is 110, average recall: 0.5862, average precision: 0.6939,average F1: 0.6355, average accuracy: 0.6695, average AUC: 0.7391
 The epoch is 120, average recall: 0.7414, average precision: 0.6418,average F1: 0.6880, average accuracy: 0.6695, average AUC: 0.7595
 The epoch is 130, average recall: 0.6724, average precision: 0.6964,average F1: 0.6842, average accuracy: 0.6949, average AUC: 0.7773
 The epoch is 140, average recall: 0.6897, average precision: 0.6154,average F1: 0.6504, average accuracy: 0.6356, average AUC: 0.7549
 The epoch is 150, average recall: 0.7069, average precision: 0.6833,average F1: 0.6949, average accuracy: 0.6949, average AUC: 0.7776
 The epoch is 160, average recall: 0.7241, average precision: 0.6774,average F1: 0.7000, average accuracy: 0.6949, average AUC: 0.7865
 The epoch is 170, average recall: 0.6724, average precision: 0.6724,average F1: 0.6724, average accuracy: 0.6780, average AUC: 0.7807
 The epoch is 180, average recall: 0.7241, average precision: 0.6176,average F1: 0.6667, average accuracy: 0.6441, average AUC: 0.7994
 The epoch is 190, average recall: 0.7241, average precision: 0.6774,average F1: 0.7000, average accuracy: 0.6949, average AUC: 0.8014
 The epoch is 200, average recall: 0.7241, average precision: 0.7000,average F1: 0.7119, average accuracy: 0.7119, average AUC: 0.7986
 The epoch is 210, average recall: 0.7759, average precision: 0.7377,average F1: 0.7563, average accuracy: 0.7542, average AUC: 0.8052
 The epoch is 220, average recall: 0.7414, average precision: 0.7049,average F1: 0.7227, average accuracy: 0.7203, average AUC: 0.8060
 The epoch is 230, average recall: 0.7931, average precision: 0.7188,average F1: 0.7541, average accuracy: 0.7458, average AUC: 0.8333
 The epoch is 240, average recall: 0.7069, average precision: 0.7193,average F1: 0.7130, average accuracy: 0.7203, average AUC: 0.8356
 The epoch is 250, average recall: 0.7759, average precision: 0.7258,average F1: 0.7500, average accuracy: 0.7458, average AUC: 0.8391
 The epoch is 260, average recall: 0.7586, average precision: 0.6984,average F1: 0.7273, average accuracy: 0.7203, average AUC: 0.8290
 The epoch is 270, average recall: 0.7759, average precision: 0.7031,average F1: 0.7377, average accuracy: 0.7288, average AUC: 0.8443
