
 The epoch is 10, average recall: 0.8966, average precision: 0.7761,average F1: 0.8320, average accuracy: 0.8220, average AUC: 0.9307
 The epoch is 20, average recall: 0.8621, average precision: 0.8772,average F1: 0.8696, average accuracy: 0.8729, average AUC: 0.9440
 The epoch is 30, average recall: 0.8793, average precision: 0.8793,average F1: 0.8793, average accuracy: 0.8814, average AUC: 0.9552
 The epoch is 40, average recall: 0.9138, average precision: 0.8833,average F1: 0.8983, average accuracy: 0.8983, average AUC: 0.9670
 The epoch is 50, average recall: 0.8276, average precision: 0.8889,average F1: 0.8571, average accuracy: 0.8644, average AUC: 0.9601
 The epoch is 60, average recall: 0.8793, average precision: 0.8793,average F1: 0.8793, average accuracy: 0.8814, average AUC: 0.9580
 The epoch is 70, average recall: 0.8793, average precision: 0.8793,average F1: 0.8793, average accuracy: 0.8814, average AUC: 0.9552
 The epoch is 80, average recall: 0.9483, average precision: 0.8871,average F1: 0.9167, average accuracy: 0.9153, average AUC: 0.9707
 The epoch is 90, average recall: 0.8966, average precision: 0.8525,average F1: 0.8739, average accuracy: 0.8729, average AUC: 0.9618
 The epoch is 100, average recall: 0.9310, average precision: 0.8308,average F1: 0.8780, average accuracy: 0.8729, average AUC: 0.9526
 The epoch is 110, average recall: 0.9483, average precision: 0.8594,average F1: 0.9016, average accuracy: 0.8983, average AUC: 0.9658
 The epoch is 120, average recall: 0.9310, average precision: 0.8852,average F1: 0.9076, average accuracy: 0.9068, average AUC: 0.9690
 The epoch is 130, average recall: 0.9310, average precision: 0.8852,average F1: 0.9076, average accuracy: 0.9068, average AUC: 0.9716
 The epoch is 140, average recall: 0.9138, average precision: 0.8983,average F1: 0.9060, average accuracy: 0.9068, average AUC: 0.9649
 The epoch is 150, average recall: 0.9483, average precision: 0.8871,average F1: 0.9167, average accuracy: 0.9153, average AUC: 0.9589
 The epoch is 160, average recall: 0.9483, average precision: 0.9167,average F1: 0.9322, average accuracy: 0.9322, average AUC: 0.9718
 The epoch is 170, average recall: 0.9483, average precision: 0.8462,average F1: 0.8943, average accuracy: 0.8898, average AUC: 0.9698
 The epoch is 180, average recall: 0.9138, average precision: 0.8833,average F1: 0.8983, average accuracy: 0.8983, average AUC: 0.9693
 The epoch is 190, average recall: 0.9483, average precision: 0.8871,average F1: 0.9167, average accuracy: 0.9153, average AUC: 0.9753
 The epoch is 200, average recall: 0.8621, average precision: 0.8929,average F1: 0.8772, average accuracy: 0.8814, average AUC: 0.9681
