
 The epoch is 10, average recall: 1.0000, average precision: 0.4915,average F1: 0.6591, average accuracy: 0.4915, average AUC: 0.6744
 The epoch is 20, average recall: 0.9138, average precision: 0.5408,average F1: 0.6795, average accuracy: 0.5763, average AUC: 0.7080
 The epoch is 30, average recall: 0.7414, average precision: 0.6143,average F1: 0.6719, average accuracy: 0.6441, average AUC: 0.7460
 The epoch is 40, average recall: 0.4828, average precision: 0.6829,average F1: 0.5657, average accuracy: 0.6356, average AUC: 0.7572
 The epoch is 50, average recall: 0.6724, average precision: 0.6964,average F1: 0.6842, average accuracy: 0.6949, average AUC: 0.7672
 The epoch is 60, average recall: 0.6724, average precision: 0.6842,average F1: 0.6783, average accuracy: 0.6864, average AUC: 0.7414
 The epoch is 70, average recall: 0.6724, average precision: 0.6842,average F1: 0.6783, average accuracy: 0.6864, average AUC: 0.7486
 The epoch is 80, average recall: 0.6724, average precision: 0.7091,average F1: 0.6903, average accuracy: 0.7034, average AUC: 0.7477
 The epoch is 90, average recall: 0.6379, average precision: 0.7115,average F1: 0.6727, average accuracy: 0.6949, average AUC: 0.7704
 The epoch is 100, average recall: 0.7759, average precision: 0.6716,average F1: 0.7200, average accuracy: 0.7034, average AUC: 0.7693
 The epoch is 110, average recall: 0.6034, average precision: 0.6863,average F1: 0.6422, average accuracy: 0.6695, average AUC: 0.7937
 The epoch is 120, average recall: 0.6897, average precision: 0.7273,average F1: 0.7080, average accuracy: 0.7203, average AUC: 0.7891
 The epoch is 130, average recall: 0.8103, average precision: 0.6714,average F1: 0.7344, average accuracy: 0.7119, average AUC: 0.7931
 The epoch is 140, average recall: 0.8793, average precision: 0.6800,average F1: 0.7669, average accuracy: 0.7373, average AUC: 0.8141
 The epoch is 150, average recall: 0.8103, average precision: 0.7121,average F1: 0.7581, average accuracy: 0.7458, average AUC: 0.8207
 The epoch is 160, average recall: 0.6897, average precision: 0.7407,average F1: 0.7143, average accuracy: 0.7288, average AUC: 0.8325
 The epoch is 170, average recall: 0.8966, average precision: 0.7222,average F1: 0.8000, average accuracy: 0.7797, average AUC: 0.8276
 The epoch is 180, average recall: 0.8966, average precision: 0.6842,average F1: 0.7761, average accuracy: 0.7458, average AUC: 0.8454
 The epoch is 190, average recall: 0.7759, average precision: 0.7258,average F1: 0.7500, average accuracy: 0.7458, average AUC: 0.8428
 The epoch is 200, average recall: 0.7759, average precision: 0.7031,average F1: 0.7377, average accuracy: 0.7288, average AUC: 0.8261
 The epoch is 210, average recall: 0.8793, average precision: 0.7500,average F1: 0.8095, average accuracy: 0.7966, average AUC: 0.8652
 The epoch is 220, average recall: 0.8621, average precision: 0.7246,average F1: 0.7874, average accuracy: 0.7712, average AUC: 0.8385
 The epoch is 230, average recall: 0.8448, average precision: 0.7313,average F1: 0.7840, average accuracy: 0.7712, average AUC: 0.8526
