
 The epoch is 10, average recall: 0.6724, average precision: 0.5200,average F1: 0.5865, average accuracy: 0.5339, average AUC: 0.6109
 The epoch is 20, average recall: 0.6724, average precision: 0.5417,average F1: 0.6000, average accuracy: 0.5593, average AUC: 0.6310
 The epoch is 30, average recall: 0.7586, average precision: 0.5432,average F1: 0.6331, average accuracy: 0.5678, average AUC: 0.6379
 The epoch is 40, average recall: 0.8448, average precision: 0.5698,average F1: 0.6806, average accuracy: 0.6102, average AUC: 0.6716
 The epoch is 50, average recall: 0.8103, average precision: 0.5875,average F1: 0.6812, average accuracy: 0.6271, average AUC: 0.7382
 The epoch is 60, average recall: 0.8103, average precision: 0.5802,average F1: 0.6763, average accuracy: 0.6186, average AUC: 0.7181
 The epoch is 70, average recall: 0.7931, average precision: 0.5476,average F1: 0.6479, average accuracy: 0.5763, average AUC: 0.6911
 The epoch is 80, average recall: 0.6034, average precision: 0.6140,average F1: 0.6087, average accuracy: 0.6186, average AUC: 0.6632
 The epoch is 90, average recall: 0.6207, average precision: 0.6207,average F1: 0.6207, average accuracy: 0.6271, average AUC: 0.6891
 The epoch is 100, average recall: 0.6897, average precision: 0.7018,average F1: 0.6957, average accuracy: 0.7034, average AUC: 0.7511
 The epoch is 110, average recall: 0.7586, average precision: 0.6377,average F1: 0.6929, average accuracy: 0.6695, average AUC: 0.7284
 The epoch is 120, average recall: 0.8276, average precision: 0.6761,average F1: 0.7442, average accuracy: 0.7203, average AUC: 0.7580
 The epoch is 130, average recall: 0.6897, average precision: 0.6667,average F1: 0.6780, average accuracy: 0.6780, average AUC: 0.7779
 The epoch is 140, average recall: 0.8276, average precision: 0.7164,average F1: 0.7680, average accuracy: 0.7542, average AUC: 0.7874
 The epoch is 150, average recall: 0.8103, average precision: 0.7344,average F1: 0.7705, average accuracy: 0.7627, average AUC: 0.8121
 The epoch is 160, average recall: 0.7759, average precision: 0.7031,average F1: 0.7377, average accuracy: 0.7288, average AUC: 0.8290
