
 The epoch is 10, average recall: 0.8621, average precision: 0.5319,average F1: 0.6579, average accuracy: 0.5593, average AUC: 0.6193
 The epoch is 20, average recall: 0.5862, average precision: 0.5574,average F1: 0.5714, average accuracy: 0.5678, average AUC: 0.6003
 The epoch is 30, average recall: 0.9310, average precision: 0.5192,average F1: 0.6667, average accuracy: 0.5424, average AUC: 0.7135
 The epoch is 40, average recall: 0.7931, average precision: 0.5974,average F1: 0.6815, average accuracy: 0.6356, average AUC: 0.7083
 The epoch is 50, average recall: 0.8448, average precision: 0.5568,average F1: 0.6712, average accuracy: 0.5932, average AUC: 0.7497
 The epoch is 60, average recall: 0.6207, average precision: 0.5714,average F1: 0.5950, average accuracy: 0.5847, average AUC: 0.6428
 The epoch is 70, average recall: 0.5690, average precision: 0.5893,average F1: 0.5789, average accuracy: 0.5932, average AUC: 0.6480
 The epoch is 80, average recall: 0.6034, average precision: 0.6364,average F1: 0.6195, average accuracy: 0.6356, average AUC: 0.6925
 The epoch is 90, average recall: 0.7241, average precision: 0.6667,average F1: 0.6942, average accuracy: 0.6864, average AUC: 0.7434
 The epoch is 100, average recall: 0.5172, average precision: 0.6522,average F1: 0.5769, average accuracy: 0.6271, average AUC: 0.6839
 The epoch is 110, average recall: 0.7759, average precision: 0.6164,average F1: 0.6870, average accuracy: 0.6525, average AUC: 0.7236
 The epoch is 120, average recall: 0.6034, average precision: 0.6863,average F1: 0.6422, average accuracy: 0.6695, average AUC: 0.7445
 The epoch is 130, average recall: 0.7069, average precision: 0.6613,average F1: 0.6833, average accuracy: 0.6780, average AUC: 0.8147
 The epoch is 140, average recall: 0.8103, average precision: 0.6812,average F1: 0.7402, average accuracy: 0.7203, average AUC: 0.8167
 The epoch is 150, average recall: 0.7931, average precision: 0.6866,average F1: 0.7360, average accuracy: 0.7203, average AUC: 0.8261
 The epoch is 160, average recall: 0.8448, average precision: 0.7101,average F1: 0.7717, average accuracy: 0.7542, average AUC: 0.8388
 The epoch is 170, average recall: 0.7586, average precision: 0.6984,average F1: 0.7273, average accuracy: 0.7203, average AUC: 0.8282
 The epoch is 180, average recall: 0.6897, average precision: 0.8000,average F1: 0.7407, average accuracy: 0.7627, average AUC: 0.8511
 The epoch is 190, average recall: 0.7069, average precision: 0.7593,average F1: 0.7321, average accuracy: 0.7458, average AUC: 0.8273
 The epoch is 200, average recall: 0.8276, average precision: 0.7742,average F1: 0.8000, average accuracy: 0.7966, average AUC: 0.8776
 The epoch is 210, average recall: 0.7759, average precision: 0.7500,average F1: 0.7627, average accuracy: 0.7627, average AUC: 0.8724
