
 The epoch is 10, average recall: 0.8966, average precision: 0.8525,average F1: 0.8739, average accuracy: 0.8729, average AUC: 0.9454
 The epoch is 20, average recall: 0.9138, average precision: 0.8689,average F1: 0.8908, average accuracy: 0.8898, average AUC: 0.9589
 The epoch is 30, average recall: 0.8621, average precision: 0.9091,average F1: 0.8850, average accuracy: 0.8898, average AUC: 0.9698
 The epoch is 40, average recall: 0.9138, average precision: 0.8154,average F1: 0.8618, average accuracy: 0.8559, average AUC: 0.9348
 The epoch is 50, average recall: 0.8276, average precision: 0.8571,average F1: 0.8421, average accuracy: 0.8475, average AUC: 0.9399
 The epoch is 60, average recall: 0.9138, average precision: 0.8281,average F1: 0.8689, average accuracy: 0.8644, average AUC: 0.9474
 The epoch is 70, average recall: 0.9138, average precision: 0.8548,average F1: 0.8833, average accuracy: 0.8814, average AUC: 0.9405
 The epoch is 80, average recall: 0.9310, average precision: 0.8852,average F1: 0.9076, average accuracy: 0.9068, average AUC: 0.9428
 The epoch is 90, average recall: 0.9138, average precision: 0.8030,average F1: 0.8548, average accuracy: 0.8475, average AUC: 0.9448
 The epoch is 100, average recall: 0.9310, average precision: 0.7941,average F1: 0.8571, average accuracy: 0.8475, average AUC: 0.9399
 The epoch is 110, average recall: 0.9138, average precision: 0.8689,average F1: 0.8908, average accuracy: 0.8898, average AUC: 0.9537
 The epoch is 120, average recall: 0.9310, average precision: 0.8308,average F1: 0.8780, average accuracy: 0.8729, average AUC: 0.9491
 The epoch is 130, average recall: 0.8966, average precision: 0.8000,average F1: 0.8455, average accuracy: 0.8390, average AUC: 0.9359
 The epoch is 140, average recall: 0.8621, average precision: 0.8621,average F1: 0.8621, average accuracy: 0.8644, average AUC: 0.9511
 The epoch is 150, average recall: 0.8276, average precision: 0.8276,average F1: 0.8276, average accuracy: 0.8305, average AUC: 0.9431
 The epoch is 160, average recall: 0.8276, average precision: 0.8571,average F1: 0.8421, average accuracy: 0.8475, average AUC: 0.9417
 The epoch is 170, average recall: 0.8793, average precision: 0.8500,average F1: 0.8644, average accuracy: 0.8644, average AUC: 0.9555
 The epoch is 180, average recall: 0.8966, average precision: 0.8254,average F1: 0.8595, average accuracy: 0.8559, average AUC: 0.9609
 The epoch is 190, average recall: 0.9310, average precision: 0.8438,average F1: 0.8852, average accuracy: 0.8814, average AUC: 0.9557
 The epoch is 200, average recall: 0.8793, average precision: 0.8361,average F1: 0.8571, average accuracy: 0.8559, average AUC: 0.9448
